Test Time (s),F(kg)      millistrain
25.467,002.87,000.00000
25.665,002.84,000.00000
25.866,002.82,000.00000
26.067,002.94,000.00000
26.264,003.08,000.00000
26.465,003.19,000.00000
26.667,003.18,000.00000
26.882,003.14,000.00000
27.082,003.08,000.00000
27.284,003.01,000.00000
27.483,002.90,000.00000
27.682,002.78,000.00000
27.882,002.71,000.00000
28.082,002.64,000.00000
28.281,002.60,000.00000
28.483,002.54,000.00000
28.698,002.52,000.00000
28.885,002.54,000.00000
29.099,002.62,000.00000
29.298,002.70,000.00000
29.5,002.75,000.00000
29.698,002.79,000.00000
29.9,002.81,000.00000
30.1,002.80,000.00000
30.298,002.74,000.00000
30.499,002.67,000.00000
30.717,002.56,000.00000
30.917,002.48,000.00000
31.115,002.41,000.00000
31.314,002.37,000.00000
31.517,002.33,000.00000
31.717,002.30,000.00000
31.918,002.28,000.00000
32.117,002.27,000.00000
32.317,002.30,000.00000
32.517,002.39,000.00000
32.733,002.49,000.00000
32.934,002.53,000.00000
33.134,002.55,000.00000
33.334,002.54,000.00000
33.533,002.50,000.00000
33.733,002.46,000.00000
33.931,002.40,000.00000
34.133,002.27,000.00000
34.333,002.20,000.00000
34.551,002.15,000.00000
34.751,002.09,000.00000
34.951,002.07,000.00000
35.151,002.05,000.00000
35.351,002.08,000.00000
35.551,002.19,000.00000
35.751,002.30,000.00000
35.948,002.37,000.00000
36.15,002.38,000.00000
36.367,002.37,000.00000
36.567,002.33,000.00000
36.768,002.26,000.00000
36.967,002.21,000.00000
37.167,002.10,000.00000
37.367,002.03,000.00000
37.568,001.99,000.00000
37.767,001.94,000.00000
37.967,001.92,000.00000
38.168,001.91,000.00000
38.367,001.90,000.00000
38.582,002.01,000.00000
38.784,002.10,000.00000
38.984,002.21,000.00000
39.184,002.20,000.00000
39.383,002.16,000.00000
39.584,002.13,000.00000
39.783,002.10,000.00000
39.983,002.05,000.00000
40.202,001.95,000.00000
40.385,001.89,000.00000
40.599,001.84,000.00000
40.8,001.81,000.00000
41.0,001.76,000.00000
41.202,001.75,000.00000
41.403,001.75,000.00000
41.604,001.87,000.00000
41.803,001.96,000.00000
42.002,002.01,000.00000
42.203,002.04,000.00000
42.402,002.05,000.00000
42.82,002.03,000.00000
43.02,001.97,000.00000
43.218,001.86,000.00000
43.421,001.79,000.00000
43.621,001.75,000.00000
43.818,001.71,000.00000
44.02,001.68,000.00000
44.22,001.67,000.00000
44.421,001.68,000.00000
44.621,001.77,000.00000
44.821,001.84,000.00000
45.238,001.93,000.00000
45.437,001.91,000.00000
45.635,001.88,000.00000
45.835,001.84,000.00000
46.038,001.80,000.00000
46.238,001.70,000.00000
46.437,001.65,000.00000
46.652,001.61,000.00000
46.853,001.58,000.00000
47.054,001.56,000.00000
47.253,001.55,000.00000
47.453,001.65,000.00000
47.652,001.75,000.00000
47.851,001.81,000.00000
48.054,001.83,000.00000
48.271,001.83,000.00000
48.454,001.81,000.00000
48.67,001.79,000.00000
48.871,001.73,000.00000
49.071,001.63,000.00000
49.271,001.56,000.00000
49.471,001.52,000.00000
49.671,001.49,000.00000
49.871,001.47,000.00000
50.072,001.45,000.00000
50.271,001.53,000.00000
50.471,001.60,000.00000
50.885,001.68,000.00000
51.089,001.71,000.00000
51.286,001.72,000.00000
51.487,001.69,000.00000
51.686,001.67,000.00000
51.887,001.64,000.00000
52.089,001.54,000.00000
52.306,001.48,000.00000
52.489,001.45,000.00000
52.702,001.42,000.00000
52.904,001.39,000.00000
53.103,001.36,000.00000
53.303,001.37,000.00000
53.506,001.48,000.00000
53.704,001.55,000.00000
53.906,001.59,000.00000
54.104,001.61,000.00000
54.304,001.64,000.00000
54.52,001.63,000.00000
54.722,001.60,000.00000
54.92,001.57,000.00000
55.123,001.51,000.00000
55.32,001.46,000.00000
55.522,001.36,000.00000
55.723,001.32,000.00000
55.926,001.28,000.00000
56.125,001.26,000.00000
56.323,001.24,000.00000
56.526,001.23,000.00000
56.73,001.25,000.00000
56.93,001.33,000.00000
57.129,001.36,000.00000
57.33,001.42,000.00000
57.531,001.48,000.0000
57.944,001.45,000.00000
58.143,001.42,000.00000
58.344,001.36,000.00000
58.543,001.26,000.00000
58.745,001.21,000.00000
58.945,001.18,000.00000
59.162,001.16,000.00000
59.361,001.14,000.00000
59.561,001.12,000.00000
59.762,001.10,000.00000
59.96,001.11,000.00000
60.161,001.17,000.00000
60.363,001.21,000.00000
60.564,001.20,000.00000
60.78,001.18,000.00000
60.963,001.16,000.00000
61.177,001.13,000.00000
61.38,001.10,000.00000
61.579,001.09,000.00000
61.78,001.07,000.00000
61.98,001.06,000.00000
62.18,001.05,000.00000
62.381,001.05,000.00000
62.58,001.05,000.00000
62.78,001.04,000.00000
62.995,001.03,000.00000
63.196,001.03,000.00000
63.396,001.03,000.00000
63.596,001.03,000.00000
63.793,001.05,000.00000
63.996,001.04,000.00000
64.196,001.03,000.00000
64.396,001.02,000.00000
64.596,001.01,000.00000
64.814,001.01,000.00000
64.996,001.00,000.00000
65.213,000.99,000.00000
65.414,000.98,000.00000
65.611,000.99,000.00000
65.813,000.99,000.00000
66.013,000.99,000.00000
66.211,000.98,000.00000
66.411,000.98,000.00000
66.611,000.98,000.00000
66.831,000.97,000.00000
67.031,000.98,000.00000
67.231,000.97,000.00000
67.431,000.97,000.00000
67.631,000.97,000.00000
67.831,000.97,000.00000
68.031,000.97,000.00000
68.231,000.97,000.00000
68.431,000.96,000.00000
68.631,000.96,000.00000
68.831,000.96,000.00000
69.032,000.96,000.00000
